LATITUDE;LONGITUDE;CIDADE;ÂNGULO;MWH
-1,3413479;-48,59081;Belem;180,000;28,85663956
-15,7217173;-48,0777;Brasilia;0,000;34,313
-15,7217173;-48,0777;Brasilia;5,000;34,26566373
-15,7217173;-48,0777;Brasilia;10,000;34,19707444
-15,7217173;-48,0777;Brasilia;15,000;34,11013027
-15,7217173;-48,0777;Brasilia;20,000;34,00966145
-15,7217173;-48,0777;Brasilia;25,000;33,89083775
-15,7217173;-48,0777;Brasilia;30,000;33,75365917
-15,7217173;-48,0777;Brasilia;35,000;33,59619361
-15,7217173;-48,0777;Brasilia;40,000;33,42037318
-15,7217173;-48,0777;Brasilia;45,000;33,23199414
-15,7217173;-48,0777;Brasilia;50,000;33,03878488
-15,7217173;-48,0777;Brasilia;55,000;32,84943979
-15,7217173;-48,0777;Brasilia;60,000;32,66782308
-15,7217173;-48,0777;Brasilia;65,000;32,49007055
-15,7217173;-48,0777;Brasilia;70,000;32,30652175
-15,7217173;-48,0777;Brasilia;75,000;32,11621062
-15,7217173;-48,0777;Brasilia;80,000;31,92010321
-15,7217173;-48,0777;Brasilia;85,000;31,71819953
-15,7217173;-48,0777;Brasilia;90,000;31,51049956
-15,7217173;-48,0777;Brasilia;95,000;31,29796937
-15,7217173;-48,0777;Brasilia;100,000;31,08157499
-15,7217173;-48,0777;Brasilia;105,000;30,86614665
-15,7217173;-48,0777;Brasilia;110,000;30,65265041
-15,7217173;-48,0777;Brasilia;115,000;30,4439844
-15,7217173;-48,0777;Brasilia;120,000;30,24208072
-15,7217173;-48,0777;Brasilia;125,000;30,04597331
-15,7217173;-48,0777;Brasilia;130,000;29,86145846
-15,7217173;-48,0777;Brasilia;135,000;29,6933664
-15,7217173;-48,0777;Brasilia;140,000;29,54362921
-15,7217173;-48,0777;Brasilia;145,000;29,41321296
-15,7217173;-48,0777;Brasilia;150,000;29,30501577
-15,7217173;-48,0777;Brasilia;155,000;29,21517346
-15,7217173;-48,0777;Brasilia;160,000;29,14561812
-15,7217173;-48,0777;Brasilia;165,000;29,09634976
-15,7217173;-48,0777;Brasilia;170,000;29,06736837
-15,7217173;-48,0777;Brasilia;175,000;29,06060604
-15,7217173;-48,0777;Brasilia;180,000;29,07799488
-10,2116585;-63,85133;Buritis;0,000;33,168
-10,2116585;-63,85133;Buritis;5,000;33,16421078
-10,2116585;-63,85133;Buritis;10,000;33,14526467
-10,2116585;-63,85133;Buritis;15,000;33,11116168
-10,2116585;-63,85133;Buritis;20,000;33,06190181
-10,2116585;-63,85133;Buritis;25,000;32,99559044
-10,2116585;-63,85133;Buritis;30,000;32,91317488
-10,2116585;-63,85133;Buritis;35,000;32,81939165
-10,2116585;-63,85133;Buritis;40,000;32,71518807
-10,2116585;-63,85133;Buritis;45,000;32,60056413
-10,2116585;-63,85133;Buritis;50,000;32,48025636
-10,2116585;-63,85133;Buritis;55,000;32,35710667
-10,2116585;-63,85133;Buritis;60,000;32,23774621
-10,2116585;-63,85133;Buritis;65,000;32,12028035
-10,2116585;-63,85133;Buritis;70,000;32,00091989
-10,2116585;-63,85133;Buritis;75,000;31,87492828
-10,2116585;-63,85133;Buritis;80,000;31,74325285
-10,2116585;-63,85133;Buritis;85,000;31,60494628
-10,2116585;-63,85133;Buritis;90,000;31,46190318
-10,2116585;-63,85133;Buritis;95,000;31,31507086
-10,2116585;-63,85133;Buritis;100,000;31,16444932
-10,2116585;-63,85133;Buritis;105,000;31,01193317
-10,2116585;-63,85133;Buritis;110,000;30,85941702
-10,2116585;-63,85133;Buritis;115,000;30,70974278
-10,2116585;-63,85133;Buritis;120,000;30,56196316
-10,2116585;-63,85133;Buritis;125,000;30,41986736
-10,2116585;-63,85133;Buritis;130,000;30,2834554
-10,2116585;-63,85133;Buritis;135,000;30,15651649
-10,2116585;-63,85133;Buritis;140,000;30,04189255
-10,2116585;-63,85133;Buritis;145,000;29,94147819
-10,2116585;-63,85133;Buritis;150,000;29,8533788
-10,2116585;-63,85133;Buritis;155,000;29,77569977
-10,2116585;-63,85133;Buritis;160,000;29,70844109
-10,2116585;-63,85133;Buritis;165,000;29,65349739
-10,2116585;-63,85133;Buritis;170,000;29,61465787
-10,2116585;-63,85133;Buritis;175,000;29,59381715
-10,2116585;-63,85133;Buritis;180,000;29,59286985
-20,8521352;-41,175078;Cachoeiro de Itapemirim;0,000;29,055
-20,8521352;-41,175078;Cachoeiro de Itapemirim;5,000;29,05311447
-20,8521352;-41,175078;Cachoeiro de Itapemirim;10,000;29,0323737
-20,8521352;-41,175078;Cachoeiro de Itapemirim;15,000;28,99183491
-20,8521352;-41,175078;Cachoeiro de Itapemirim;20,000;28,93338363
-20,8521352;-41,175078;Cachoeiro de Itapemirim;25,000;28,86173367
-20,8521352;-41,175078;Cachoeiro de Itapemirim;30,000;28,7778278
-20,8521352;-41,175078;Cachoeiro de Itapemirim;35,000;28,68166602
-20,8521352;-41,175078;Cachoeiro de Itapemirim;40,000;28,57042003
-20,8521352;-41,175078;Cachoeiro de Itapemirim;45,000;28,44597537
-20,8521352;-41,175078;Cachoeiro de Itapemirim;50,000;28,30833204
-20,8521352;-41,175078;Cachoeiro de Itapemirim;55,000;28,15937555
-20,8521352;-41,175078;Cachoeiro de Itapemirim;60,000;27,99722038
-20,8521352;-41,175078;Cachoeiro de Itapemirim;65,000;27,82563759
-20,8521352;-41,175078;Cachoeiro de Itapemirim;70,000;27,65028375
-20,8521352;-41,175078;Cachoeiro de Itapemirim;75,000;27,47115886
-20,8521352;-41,175078;Cachoeiro de Itapemirim;80,000;27,28920568
-20,8521352;-41,175078;Cachoeiro de Itapemirim;85,000;27,10348146
-20,8521352;-41,175078;Cachoeiro de Itapemirim;90,000;26,91492894
-20,8521352;-41,175078;Cachoeiro de Itapemirim;95,000;26,72543366
-20,8521352;-41,175078;Cachoeiro de Itapemirim;100,000;26,53405286
-20,8521352;-41,175078;Cachoeiro de Itapemirim;105,000;26,34361482
-20,8521352;-41,175078;Cachoeiro de Itapemirim;110,000;26,15600506
-20,8521352;-41,175078;Cachoeiro de Itapemirim;115,000;25,97310912
-20,8521352;-41,175078;Cachoeiro de Itapemirim;120,000;25,79492699
-20,8521352;-41,175078;Cachoeiro de Itapemirim;125,000;25,62522973
-20,8521352;-41,175078;Cachoeiro de Itapemirim;130,000;25,46496009
-20,8521352;-41,175078;Cachoeiro de Itapemirim;135,000;25,31317531
-20,8521352;-41,175078;Cachoeiro de Itapemirim;140,000;25,17364645
-20,8521352;-41,175078;Cachoeiro de Itapemirim;145,000;25,0463735
-20,8521352;-41,175078;Cachoeiro de Itapemirim;150,000;24,93135647
-20,8521352;-41,175078;Cachoeiro de Itapemirim;155,000;24,83048087
-20,8521352;-41,175078;Cachoeiro de Itapemirim;160,000;24,74468948
