LAT_LON;CIDADE;ÂNGULO;FATOR
-3,2081547,-52,2086;Altamira;180;0,9515737715524213
-20,4613172,-55,777153;Aquidauana;0;1,0
-20,4613172,-55,777153;Aquidauana;5;0,9998264491496008
-20,4613172,-55,777153;Aquidauana;10;0,9989008446141386
-20,4613172,-55,777153;Aquidauana;15;0,9972810366770797
-20,4613172,-55,777153;Aquidauana;20;0,9949381001966909
-20,4613172,-55,777153;Aquidauana;25;0,9920455860233716
-20,4613172,-55,777153;Aquidauana;30;0,9887191947240541
-20,4613172,-55,777153;Aquidauana;35;0,9849589262987388
-20,4613172,-55,777153;Aquidauana;40;0,9807069304639593
-20,4613172,-55,777153;Aquidauana;45;0,9760210575031818
-20,4613172,-55,777153;Aquidauana;50;0,9709013074164063
-20,4613172,-55,777153;Aquidauana;55;0,9652898299201667
-20,4613172,-55,777153;Aquidauana;60;0,9592155501561958
-20,4613172,-55,777153;Aquidauana;65;0,9527652435496934
-20,4613172,-55,777153;Aquidauana;70;0,9460835358093255
-20,4613172,-55,777153;Aquidauana;75;0,9392861275020248
-20,4613172,-55,777153;Aquidauana;80;0,9324019437695245
-20,4613172,-55,777153;Aquidauana;85;0,925344209186625
-20,4613172,-55,777153;Aquidauana;90;0,9182286243202592
-20,4613172,-55,777153;Aquidauana;95;0,9110841143121601
-20,4613172,-55,777153;Aquidauana;100;0,9039106791623279
-20,4613172,-55,777153;Aquidauana;105;0,896795094295962
-20,4613172,-55,777153;Aquidauana;110;0,889795209996529
-20,4613172,-55,777153;Aquidauana;115;0,8829688765474951
-20,4613172,-55,777153;Aquidauana;120;0,8763739442323267
-20,4613172,-55,777153;Aquidauana;125;0,8700682633344904
-20,4613172,-55,777153;Aquidauana;130;0,8640807589957191
-20,4613172,-55,777153;Aquidauana;135;0,8584982066412126
-20,4613172,-55,777153;Aquidauana;140;0,8532916811292375
-20,4613172,-55,777153;Aquidauana;145;0,8485768830267268
-20,4613172,-55,777153;Aquidauana;150;0,8443827374754136
-20,4613172,-55,777153;Aquidauana;155;0,8407670947587643
-20,4613172,-55,777153;Aquidauana;160;0,8377010297350457
-20,4613172,-55,777153;Aquidauana;165;0,8353002429711905
-20,4613172,-55,777153;Aquidauana;170;0,8336515098923984
-20,4613172,-55,777153;Aquidauana;175;0,8328705310656023
-20,4613172,-55,777153;Aquidauana;180;0,8329573064908018
-22,4803709,-48,56096;Barra Bonita;0;1,0
-22,4803709,-48,56096;Barra Bonita;5;0,9990133358795633
-22,4803709,-48,56096;Barra Bonita;10;0,9973901142620707
-22,4803709,-48,56096;Barra Bonita;15;0,9951303351475222
-22,4803709,-48,56096;Barra Bonita;20;0,9922658264107705
-22,4803709,-48,56096;Barra Bonita;25;0,9888602438015214
-22,4803709,-48,56096;Barra Bonita;30;0,9848499315700691
-22,4803709,-48,56096;Barra Bonita;35;0,9802030618415608
-22,4803709,-48,56096;Barra Bonita;40;0,9750151182405551
-22,4803709,-48,56096;Barra Bonita;45;0,9696043795155798
-22,4803709,-48,56096;Barra Bonita;50;0,9640981571660461
-22,4803709,-48,56096;Barra Bonita;55;0,9584009675673956
-22,4803709,-48,56096;Barra Bonita;60;0,952544638594481
-22,4803709,-48,56096;Barra Bonita;65;0,9463382029981858
-22,4803709,-48,56096;Barra Bonita;70;0,939749832903657
-22,4803709,-48,56096;Barra Bonita;75;0,9328431840606003
-22,4803709,-48,56096;Barra Bonita;80;0,9256819122187212
-22,4803709,-48,56096;Barra Bonita;85;0,9183933288774309
-22,4803709,-48,56096;Barra Bonita;90;0,9110410897864349
-22,4803709,-48,56096;Barra Bonita;95;0,9037206785702918
-22,4803709,-48,56096;Barra Bonita;100;0,8964639231038544
-22,4803709,-48,56096;Barra Bonita;105;0,8893026512619753
-22,4803709,-48,56096;Barra Bonita;110;0,8822368630446545
-22,4803709,-48,56096;Barra Bonita;115;0,8753620420764505
-22,4803709,-48,56096;Barra Bonita;120;0,8686781883573633
-22,4803709,-48,56096;Barra Bonita;125;0,8623126133868042
-22,4803709,-48,56096;Barra Bonita;130;0,8563289729144785
-22,4803709,-48,56096;Barra Bonita;135;0,8508227505649448
-22,4803709,-48,56096;Barra Bonita;140;0,8458257742130558
-22,4803709,-48,56096;Barra Bonita;145;0,8414016996085172
-22,4803709,-48,56096;Barra Bonita;150;0,8375505267513288
-22,4803709,-48,56096;Barra Bonita;155;0,8343359113911964
-22,4803709,-48,56096;Barra Bonita;160;0,8317896814029727
-22,4803709,-48,56096;Barra Bonita;165;0,8299118367866578
-22,4803709,-48,56096;Barra Bonita;170;0,8287023775422515
-22,4803709,-48,56096;Barra Bonita;175;0,8281613036697539
-22,4803709,-48,56096;Barra Bonita;180;0,8282886151691652
-1,3413479,-48,59081;Belem;0;1,0
-1,3413479,-48,59081;Belem;5;1,0001260716086737
-1,3413479,-48,59081;Belem;5;1,0001260716086737
-1,3413479,-48,59081;Belem;15;0,9999369641956631
-1,3413479,-48,59081;Belem;20;0,999558749369642
-1,3413479,-48,59081;Belem;25;0,9989914271306102
-1,3413479,-48,59081;Belem;30;0,9982665153807363
-1,3413479,-48,59081;Belem;35;0,9974155320221886
-1,3413479,-48,59081;Belem;40;0,9964699949571356
-1,3413479,-48,59081;Belem;45;0,9953668683812406
-1,3413479,-48,59081;Belem;50;0,9941376701966718
-1,3413479,-48,59081;Belem;55;0,9927824004034291
-1,3413479,-48,59081;Belem;60;0,9913956127080181
-1,3413479,-48,59081;Belem;65;0,9900403429147756
-1,3413479,-48,59081;Belem;70;0,9888111447302067
-1,3413479,-48,59081;Belem;75;0,9877080181543116
-1,3413479,-48,59081;Belem;80;0,986636409480585
-1,3413479,-48,59081;Belem;85;0,9855332829046899
-1,3413479,-48,59081;Belem;90;0,9843356026222895
-1,3413479,-48,59081;Belem;95;0,9830748865355522
-1,3413479,-48,59081;Belem;100;0,981751134644478
-1,3413479,-48,59081;Belem;105;0,9804589006555724
-1,3413479,-48,59081;Belem;110;0,9791351487644983
-1,3413479,-48,59081;Belem;115;0,9778429147755925
-1,3413479,-48,59081;Belem;120;0,9765506807866868
-1,3413479,-48,59081;Belem;125;0,975321482602118
-1,3413479,-48,59081;Belem;130;0,9740922844175491
-1,3413479,-48,59081;Belem;135;0,9728946041351487
-1,3413479,-48,59081;Belem;140;0,9717284417549168
-1,3413479,-48,59081;Belem;145;0,9706568330811901
-1,3413479,-48,59081;Belem;150;0,9697112960161371
-1,3413479,-48,59081;Belem;155;0,9689548663640948
-1,3413479,-48,59081;Belem;160;0,9684505799293999
-1,3413479,-48,59081;Belem;165;0,9681354009077155
-1,3413479,-48,59081;Belem;170;0,9679147755925366
-1,3413479,-48,59081;Belem;175;0,967725668179526
-1,3413479,-48,59081;Belem;180;0,9676941502773575
-15,7217173,-48,0777;Brasilia;0;1,0
-15,7217173,-48,0777;Brasilia;5;0,9986204566570005
-15,7217173,-48,0777;Brasilia;10;0,9966215265069399
-15,7217173,-48,0777;Brasilia;15;0,9940876713871449
-15,7217173,-48,0777;Brasilia;20;0,9911596610264929
-15,7217173,-48,0777;Brasilia;25;0,9876967256961063
-15,7217173,-48,0777;Brasilia;30;0,9836988653959853
-15,7217173,-48,0777;Brasilia;35;0,9791097722345786
-15,7217173,-48,0777;Brasilia;40;0,9739857541034376
-15,7217173,-48,0777;Brasilia;45;0,9684957346772151
-15,7217173,-48,0777;Brasilia;50;0,9628649455221149
-15,7217173,-48,0777;Brasilia;55;0,9573467721501169
-15,7217173,-48,0777;Brasilia;60;0,9520538303443228
-15,7217173,-48,0777;Brasilia;65;0,9468735043216306
-15,7217173,-48,0777;Brasilia;70;0,9415242546242856
-15,7217173,-48,0777;Brasilia;75;0,935977927306512
-15,7217173,-48,0777;Brasilia;80;0,9302626763140854
-15,7217173,-48,0777;Brasilia;85;0,9243785016470059
-15,7217173,-48,0777;Brasilia;90;0,9183254033052732
-15,7217173,-48,0777;Brasilia;95;0,9121315352346632
-15,7217173,-48,0777;Brasilia;100;0,905825051380951
-15,7217173,-48,0777;Brasilia;105;0,8995467214730144
-15,7217173,-48,0777;Brasilia;110;0,8933246994566288
-15,7217173,-48,0777;Brasilia;115;0,8872434471691207
-15,7217173,-48,0777;Brasilia;120;0,8813592725020412
-15,7217173,-48,0777;Brasilia;125;0,8756440215096146
-15,7217173,-48,0777;Brasilia;130;0,870266617866494
-15,7217173,-48,0777;Brasilia;135;0,8653678313015569
-15,7217173,-48,0777;Brasilia;140;0,8610039697063544
-15,7217173,-48,0777;Brasilia;145;0,8572031870266618
-15,7217173,-48,0777;Brasilia;150;0,8540499450998057
-15,7217173,-48,0777;Brasilia;155;0,8514316281426842
-15,7217173,-48,0777;Brasilia;160;0,8494045440468482
-15,7217173,-48,0777;Brasilia;165;0,8479686928122977
-15,7217173,-48,0777;Brasilia;170;0,8471240744390326
-15,7217173,-48,0777;Brasilia;175;0,8469269968186042
-15,7217173,-48,0777;Brasilia;180;0,8474337678425632
-10,2116585,-63,851330;Buritis;0;1,0
-10,2116585,-63,851330;Buritis;5;0,999885756718933
-10,2116585,-63,851330;Buritis;10;0,9993145403135978
-10,2116585,-63,851330;Buritis;15;0,9982863507839945
-10,2116585,-63,851330;Buritis;20;0,9968011881301231
-10,2116585,-63,851330;Buritis;25;0,9948019307114501
-10,2116585,-63,851330;Buritis;30;0,9923171393482421
-10,2116585,-63,851330;Buritis;35;0,989489618141833
-10,2116585,-63,851330;Buritis;40;0,9863479279124896
-10,2116585,-63,851330;Buritis;45;0,982892068660212
-10,2116585,-63,851330;Buritis;50;0,9792648444863337
-10,2116585,-63,851330;Buritis;55;0,9755519378516551
-10,2116585,-63,851330;Buritis;60;0,9719532744980436
-10,2116585,-63,851330;Buritis;65;0,9684117327849656
